"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"42",38,2,"x6 x9",0.647327710750628,0.621203837472896,0.549953243082188,16.2479968435927,170.973854971913,84.1801512426818,176.578644498562,447.054245853083,16.3668093079854,0.431043909082566,0.572266059719769
"36",39,2,"x5 x6",0.63246380303842,0.605238899559784,0.548446990656702,17.9443096215478,172.212331239771,85.2052405195853,177.817120766419,465.896024057019,17.0566132719288,0.449210907397487,0.596385079438069
"40",40,2,"x6 x7",0.610510343364451,0.581659257687744,0.530747526195418,20.4497028792501,173.952796255649,86.6546513234904,179.557585782297,493.724656069194,18.0754290368394,0.47604291366567,0.632008008281098
"32",41,2,"x4 x6",0.607956362789856,0.578916093366882,0.515328004487227,20.7411706390895,174.148871561944,86.8185900060516,179.753661088592,496.962131466338,18.1939541217835,0.479164445479065,0.636152242020402
"33",42,2,"x4 x7",0.603060392085889,0.573657458166325,0.516023470559547,21.2999131869063,174.521201411461,87.130260794171,180.125990938109,503.168359053538,18.4211662428715,0.485148409672802,0.644096721778723
"39",43,2,"x5 x9",0.539240250433939,0.505109898614231,0.393585565468384,28.5832550826713,178.993979667724,90.9119110819723,184.598769194372,584.068010560536,21.3829302381353,0.563150805025185,0.747654903431306
"35",44,2,"x4 x9",0.533826112502585,0.499294713428702,0.400968683701856,29.2011323954472,179.344438381454,91.2111427109042,184.949227908103,590.931076992543,21.6341894546681,0.569768084719063,0.756440190722661
"31",45,2,"x4 x5",0.433690076970564,0.391741193783198,0.299865022926903,40.6289506983841,185.181921837671,96.256550942488,190.78671136432,717.865461156281,26.2813008052607,0.692156572591533,0.918926601582542
"121",46,3,"x5 x6 x8",0.803508841641048,0.780836784907322,0.736379391678583,0.424147749904503,155.426200011734,72.7643594664825,162.432186920045,259.039050320853,9.75643356844759,0.256949976315553,0.344344714180503
"61",47,3,"x1 x4 x7",0.785151527628593,0.760361319278046,0.70909679959489,2.51913830899461,158.105666971263,74.6576922627405,165.111653879573,283.2399417398,10.6679347074987,0.280955694639533,0.3765153426176
"53",48,3,"x1 x3 x4",0.78246412594259,0.757363832782119,0.704204835437645,2.82583247769702,158.478590225375,74.9227510637107,165.484577133686,286.782808433583,10.8013730578051,0.284469989151998,0.381224931451945
"69",49,3,"x1 x6 x8",0.782340580940743,0.757226032587751,0.706306063241258,2.83993179594789,158.495623268763,74.934867734497,165.501610177074,286.945680800043,10.8075074743015,0.284631548000567,0.381441440269465
"68",50,3,"x1 x6 x7",0.78151632636567,0.756306671715555,0.68922103722585,2.93399814747906,158.609015717735,75.0155541658311,165.615002626046,288.032315558231,10.8484344303658,0.28570941936797,0.382885921071735
"56",51,3,"x1 x3 x7",0.781015107833697,0.755747620276047,0.696466665101984,2.99119867756811,158.677759228534,75.0644896873133,165.683746136845,288.693084081404,10.8733215822932,0.286364858986703,0.38376429113976
"115",52,3,"x4 x6 x8",0.780966606035645,0.755693522116681,0.701019839341379,2.99673384512852,158.684403033113,75.0692199222766,165.690389941424,288.757025175808,10.8757298564089,0.286428284414925,0.383849289049727
"62",53,3,"x1 x4 x8",0.780885464188239,0.75560301774842,0.705337409906403,3.00599399092917,158.69551460199,75.0771314175165,165.701501510301,288.86399643736,10.8797588165436,0.286534392984611,0.383991487642716
"65",54,3,"x1 x5 x7",0.780882990638692,0.75560025878931,0.693631749358357,3.00627627966409,158.695853265362,75.0773725538179,165.701840173673,288.867257377603,10.8798816364305,0.286537627626326,0.383995822462251
"47",55,3,"x1 x2 x4",0.78009524003724,0.75472161388769,0.693038461385412,3.09617669057603,158.803513272485,75.1540476995598,165.809500180795,289.905768063753,10.9189960499021,0.287567763028225,0.385376331173014
"128",56,3,"x6 x8 x9",0.778278040862962,0.752694737885612,0.690128571857338,3.30356079434603,159.050401789651,75.3300232782475,166.056388697962,292.301425722245,11.0092259776634,0.289944100409972,0.38856091685871
"63",57,3,"x1 x4 x9",0.778191028092614,0.752597685180223,0.695418727426813,3.31349094710565,159.062172707804,75.3384182832995,166.068159616115,292.416136763623,11.0135464484704,0.290057886340428,0.38871340406366
"59",58,3,"x1 x4 x5",0.778109998645966,0.752507306182039,0.701282018722186,3.32273826540183,159.073130062105,75.3462334685801,166.079116970416,292.522959844534,11.017569827537,0.290163847924506,0.388855405677775
"60",59,3,"x1 x4 x6",0.776984457335978,0.751251894720898,0.704330853400457,3.45118834348468,159.224920983975,75.4545374855419,166.230907892286,294.006788198295,11.0734566629099,0.291635709637568,0.390827882220349
"50",60,3,"x1 x2 x7",0.77560809198262,0.749716717980614,0.678603121462581,3.60826319763751,159.409500345779,75.58634090863,166.41548725409,295.821283959865,11.1417977386514,0.293435572022728,0.393239920187697
"105",61,3,"x3 x6 x8",0.77520100898639,0.749262663869436,0.693505736492865,3.65472070407267,159.463875860762,75.6251912202497,166.469862769073,296.357951327627,11.1620107509962,0.293967911325489,0.393953320623396
"57",62,3,"x1 x3 x8",0.774952081114856,0.748985013551186,0.693262428770856,3.68312908344699,159.497077542241,75.6489182082438,166.503064450552,296.686118966208,11.1743708401842,0.294293432388265,0.394389559065324
"66",63,3,"x1 x5 x8",0.774047388452341,0.747975933273765,0.691487261626661,3.78637526562601,159.617435787733,75.7349620011488,166.623422696044,297.878797202152,11.2192918123817,0.295476492023862,0.395975005142882
"54",64,3,"x1 x3 x5",0.773919376046695,0.747833150205929,0.688080153198297,3.80098441711144,159.634427336011,75.7471132645697,166.640414244322,298.047559055177,11.2256480501994,0.295643892862014,0.396199342948215
"71",65,3,"x1 x7 x8",0.773418806627166,0.747274822776454,0.691068068488718,3.85811086858314,159.70077748145,75.7945722751935,166.706764389761,298.707471837704,11.2505029715548,0.296298483641398,0.397076575466639
"72",66,3,"x1 x7 x9",0.77332689444358,0.747172305340916,0.682713885040574,3.86860015676267,159.712944450641,75.8032767508337,166.718931358952,298.828641894148,11.2550667143755,0.296418676496857,0.397237648742664
"126",67,3,"x6 x7 x8",0.772513913119696,0.746265518479661,0.671951643110244,3.96137997177793,159.82034937021,75.8801388068436,166.826336278521,299.900414852413,11.2954339163662,0.297481805920398,0.398662373518805
"90",68,3,"x2 x6 x8",0.771896810454527,0.745577211660818,0.686799393219621,4.0318055393006,159.901620340512,75.9383257619859,166.907607248823,300.713956233466,11.3260750974143,0.298288786328696,0.399743826967563
"51",69,3,"x1 x2 x8",0.770478423263123,0.743995164408868,0.675876645448593,4.19367604895734,160.087588212608,76.0715604658195,167.093575120919,302.58385040131,11.3965026959019,0.300143600348224,0.402229506914184
"55",70,3,"x1 x3 x6",0.768895446710674,0.742229536715752,0.68422243965505,4.37432997961359,160.293783564672,76.2194329938683,167.299770472982,304.670726707864,11.4751026985858,0.302213646609118,0.405003624655969
"46",71,3,"x1 x2 x3",0.768841315596815,0.742169159704139,0.67825987231295,4.38050758121762,160.30080957622,76.2244744146289,167.306796484531,304.74208906556,11.4777904867833,0.302284433450319,0.405098487768823
"58",72,3,"x1 x3 x9",0.768807570027257,0.742131520415017,0.67216592400932,4.3843587246685,160.30518878958,76.227616752273,167.311175697891,304.786576666752,11.4794660655237,0.302328562272049,0.405157625842013
"48",73,3,"x1 x2 x5",0.767646811584746,0.740836828306062,0.67026537790729,4.51682788528727,160.455434308808,76.335469318972,167.461421217119,306.316832618782,11.5371015475879,0.30384647715841,0.407191819326633
"73",74,3,"x1 x8 x9",0.766572947513583,0.739639056842073,0.677073476556779,4.63938040518785,160.593765549107,76.4348432880142,167.599752457418,307.732533617702,11.5904224377458,0.305250760943777,0.40907373309691
"52",75,3,"x1 x2 x9",0.766074778244322,0.739083406503282,0.63606028932895,4.69623294446579,160.657721945863,76.4808122544185,167.663708854174,308.389282224032,11.6151581837304,0.305902213065118,0.409946759425778
"67",76,3,"x1 x5 x9",0.76596214060403,0.738957772212187,0.677991413506815,4.70908748259977,160.672163808524,76.4911945376263,167.678150716834,308.537775151731,11.6207510137793,0.306049508440885,0.410144153427505
"49",77,3,"x1 x2 x6",0.765598011175426,0.738551627849513,0.669949928902468,4.75064300181648,160.718803244087,76.5247290809471,167.724790152398,309.01781579156,11.6388312399338,0.306525677693674,0.410782279056487
"64",78,3,"x1 x5 x6",0.765004601124174,0.737889747407733,0.684753728938847,4.81836469869418,160.794655012708,76.5792853269401,167.800641921018,309.800122626182,11.6682960046196,0.307301675453003,0.411822211927749
"112",79,3,"x4 x5 x8",0.763643022614794,0.736371063685732,0.688922874874795,4.97375203480865,160.967975318086,76.7040276931485,167.973962226397,311.595124533407,11.7359028648261,0.309082201196039,0.414208336405628
